Date,steel_rebar,hot_rolled_coil,iron_ore,usd_mxn,coal,steel_rebar_next
2021-01-04,656.0,1023.0,163.92999267578125,19.84749984741211,24.73553466796875,662.0
2021-01-05,662.0,1072.0,166.0800018310547,19.94244956970215,24.73553466796875,651.0
2021-01-06,651.0,1053.0,166.75999450683594,19.90220069885254,24.73553466796875,658.0
2021-01-07,658.0,1066.0,169.30999755859375,19.65576934814453,24.73553466796875,660.0
2021-01-08,660.0,1070.0,169.52000427246094,20.000099182128906,24.73553466796875,646.5
2021-01-11,646.5,1065.0,168.99000549316406,20.05048942565918,24.73553466796875,633.5
2021-01-12,633.5,1064.0,169.3300018310547,20.062400817871094,24.73553466796875,634.0
2021-01-13,634.0,1060.0,169.50999450683594,19.794429779052734,24.73553466796875,643.5
2021-01-14,643.5,1060.0,169.8000030517578,19.836349487304688,24.73553466796875,638.0
2021-01-15,638.0,1066.0,169.97000122070312,19.723350524902344,24.73553466796875,640.0
2021-01-18,640.0,1066.0,169.97000122070312,19.84351921081543,24.73553466796875,637.0
2021-01-19,637.0,1065.0,170.02999877929688,19.695650100708008,24.73553466796875,631.5
2021-01-20,631.5,1060.0,169.85000610351562,19.63599967956543,24.73553466796875,634.0
2021-01-21,634.0,1063.0,169.97999572753906,19.585010528564453,24.73553466796875,632.0
2021-01-22,632.0,1058.0,169.82000732421875,19.737060546875,24.73553466796875,635.0
2021-01-25,635.0,1063.0,169.77999877929688,19.942880630493164,24.73553466796875,633.0
2021-01-26,633.0,1063.0,169.52000427246094,20.10516929626465,24.73553466796875,631.0
2021-01-27,631.0,1115.0,169.25999450683594,19.988300323486328,24.73553466796875,631.0
2021-01-28,631.0,1138.0,168.6300048828125,20.33152961730957,24.73553466796875,629.6
2021-01-29,629.6,1149.0,168.1300048828125,20.25225067138672,24.73553466796875,563.0
2021-02-01,563.0,1152.0,154.74000549316406,20.50528907775879,24.73553466796875,579.5
2021-02-02,579.5,1157.0,148.4199981689453,20.368160247802734,24.73553466796875,580.0
2021-02-03,580.0,1148.0,150.80999755859375,20.137680053710938,24.73553466796875,598.0
2021-02-04,598.0,1151.0,155.3300018310547,20.197080612182617,24.73553466796875,597.5
2021-02-05,597.5,1157.0,153.89999389648438,20.387189865112305,24.73553466796875,600.0
2021-02-08,600.0,1160.0,156.10000610351562,20.11138916015625,24.73553466796875,598.0
2021-02-09,598.0,1172.0,158.14999389648438,20.103069305419922,24.73553466796875,599.0
2021-02-10,599.0,1173.0,159.74000549316406,20.083850860595703,24.73553466796875,601.5
2021-02-11,601.5,1175.0,160.0800018310547,20.02928924560547,24.73553466796875,607.0
2021-02-12,607.0,1170.0,159.64999389648438,19.966279983520508,24.73553466796875,614.0
2021-02-15,614.0,1170.0,159.64999389648438,19.936769485473633,24.73553466796875,615.0
2021-02-16,615.0,1170.0,161.0,19.94930076599121,24.73553466796875,606.0
2021-02-17,606.0,1162.0,161.99000549316406,20.225540161132812,24.73553466796875,604.0
2021-02-18,604.0,1162.0,164.58999633789062,20.212539672851562,24.73553466796875,604.0
2021-02-19,604.0,1162.0,164.07000732421875,20.308229446411133,24.73553466796875,602.5
2021-02-22,602.5,1165.0,163.8699951171875,20.487449645996094,24.73553466796875,610.0
2021-02-23,610.0,1165.0,164.16000366210938,20.742029190063477,24.73553466796875,609.0
2021-02-24,609.0,1263.0,164.52999877929688,20.513269424438477,24.73553466796875,607.5
2021-02-25,607.5,1260.0,165.02000427246094,20.377559661865234,24.73553466796875,605.43
