Date,steel_rebar,usd_mxn,coal,iron_ore,hot_rolled_coil
2021-11-01,722.5,,,,
2021-11-02,731.5,,,,
2021-11-03,732.0,,,,
2021-11-04,733.0,,,,
2021-11-05,738.0,,,,
2021-11-08,731.0,,,,
2021-11-09,718.0,,,,
2021-11-10,717.0,,,,
2021-11-11,730.0,,,,
2021-11-12,712.0,,,,
2021-11-15,722.0,,,,
2021-11-16,706.0,,,,
2021-11-17,722.0,,,,
2021-11-18,717.0,,,,
2021-11-19,729.0,,,,
2021-11-22,722.0,,,,
2021-11-23,726.0,,,,
2021-11-24,726.0,,,,
2021-11-25,730.5,,,,
2021-11-26,728.5,,,,
2021-11-29,728.0,,,,
2021-11-30,728.75,,,,
2021-12-01,703.0,,,,
2021-12-02,690.0,,,,
2021-12-03,685.5,,,,
2021-12-06,703.5,,,,
2021-12-07,712.5,,,,
2021-12-08,707.5,,,,
2021-12-09,703.0,,,,
2021-12-10,697.0,,,,
2021-12-13,701.0,,,,
2021-12-14,694.5,,,,
2021-12-15,696.5,,,,
2021-12-16,692.0,,,,
2021-12-17,698.0,,,,
2021-12-20,691.5,,,,
2021-12-21,695.0,,,,
2021-12-22,696.0,,,,
2021-12-23,698.0,,,,
2021-12-24,696.5,,,,
2021-12-29,698.0,,,,
2021-12-30,698.5,,,,
2021-12-31,699.36,,,,
2022-01-04,689.0,,,,
2022-01-05,705.0,,,,
2022-01-06,707.5,,,,
2022-01-07,715.0,,,,
2022-01-10,707.0,,,,
2022-01-11,712.5,,,,
2022-01-12,708.0,,,,
2022-01-13,696.0,,,,
2022-01-14,700.0,,,,
2022-01-17,695.5,,,,
2022-01-18,705.5,,,,
2022-01-19,699.5,,,,
2022-01-20,705.0,,,,
2022-01-21,703.5,,,,
2022-01-24,697.0,,,,
2022-01-25,701.5,,,,
2022-01-26,695.0,,,,
2022-01-27,701.0,,,,
2022-01-28,702.0,,,,
2022-01-31,701.45,,,,
2022-02-01,729.0,,,,
2022-02-02,748.0,,,,
2022-02-03,739.0,,,,
2022-02-04,737.0,,,,
2022-02-07,750.0,,,,
2022-02-08,746.5,,,,
2022-02-09,745.0,,,,
2022-02-10,748.0,,,,
2022-02-11,745.5,,,,
2022-02-14,742.5,,,,
2022-02-15,737.0,,,,
2022-02-16,742.5,,,,
2022-02-17,741.0,,,,
2022-02-18,742.5,,,,
2022-02-21,743.5,,,,
2022-02-22,737.5,,,,
2022-02-23,740.0,,,,
2022-02-24,742.0,,,,
2022-02-25,739.0,,,,
2022-02-28,737.78,,,,
2022-03-01,835.0,,,,
2022-03-02,835.0,,,,
2022-03-03,837.5,,,,
2022-03-04,837.5,,,,
2022-03-07,850.0,,,,
2022-03-08,940.0,,,,
2022-03-09,950.0,,,,
2022-03-10,920.0,,,,
2022-03-11,925.5,,,,
2022-03-14,899.0,,,,
2022-03-15,925.0,,,,
2022-03-16,928.5,,,,
2022-03-17,925.0,,,,
2022-03-18,920.0,,,,
2022-03-21,925.0,,,,
2022-03-22,920.0,,,,
2022-03-23,926.0,,,,
2022-03-24,925.0,,,,
2022-03-25,926.5,,,,
2022-03-28,924.5,,,,
2022-03-29,922.5,,,,
2022-03-30,924.0,,,,
2022-03-31,925.33,,,,
2022-04-01,942.0,,,,
2022-04-04,942.0,,,,
2022-04-05,942.0,,,,
2022-04-06,942.0,,,,
2022-04-07,942.5,,,,
2022-04-08,942.5,,,,
2022-04-11,942.5,,,,
2022-04-12,943.0,,,,
2022-04-13,938.0,,,,
2022-04-14,942.5,,,,
2022-04-19,950.0,,,,
2022-04-20,944.5,,,,
2022-04-21,936.5,,,,
2022-04-22,934.0,,,,
2022-04-25,930.0,,,,
2022-04-26,935.0,,,,
2022-04-27,935.0,,,,
2022-04-28,935.5,,,,
2022-04-29,935.79,,,,
2022-05-03,839.5,,,,
2022-05-04,850.0,,,,
2022-05-05,860.5,,,,
2022-05-06,840.0,,,,
2022-05-09,822.0,,,,
2022-05-10,815.5,,,,
2022-05-11,814.5,,,,
2022-05-12,799.5,,,,
2022-05-13,801.0,,,,
2022-05-16,804.5,,,,
2022-05-17,802.5,,,,
2022-05-18,802.5,,,,
2022-05-19,795.0,,,,
2022-05-20,790.0,,,,
2022-05-23,800.0,,,,
2022-05-24,800.0,,,,
2022-05-25,806.0,,,,
2022-05-26,805.0,,,,
2022-05-27,804.5,,,,
2022-05-30,804.5,,,,
2022-05-31,803.21,,,,
